Classifier1,Classifier2,Classifier3,Classifier4,LeadSpecies,Vol0,Vol1,Vol2,Vol3,Vol4,Vol5,Vol6,Vol7,Vol8,Vol9,Vol10,Vol11,Vol12,Vol13,Vol14,Vol15,Vol16,Vol17,Vol18,Vol19,Vol20
Pine,L,mineral,YC12_20,Pine,0,0.4,6.0,31.1,69.1,120.8,182.1,248.5,315.9,381.5,443.0,499.3,549.8,594.4,633.3,666.9,695.7,720.2,741.0,758.5,773.2
Pine,L,peat,YC12_20,Pine,0,0.4,6.0,31.1,69.1,120.8,182.1,248.5,315.9,381.5,443.0,499.3,549.8,594.4,633.3,666.9,695.7,720.2,741.0,758.5,773.2
Sitka,L,mineral,YC4_12,Sitka,0,0.0,0.2,1.9,7.0,18.0,36.3,62.2,95.1,133.4,175.2,218.7,262.3,304.7,344.9,382.4,416.7,447.6,475.3,499.8,525.4
Sitka,L,mineral,YC13_16,Sitka,0,0.1,2.9,21.1,58.7,120.6,205.1,307.0,420.0,537.8,654.9,767.3,872.3,968.2,1054.4,1130.8,1197.7,1255.8,1305.9,1348.8,1392.0
Sitka,L,mineral,YC17_20,Sitka,0,0.2,5.9,40.9,103.6,191.1,290.9,391.3,484.4,565.7,633.9,689.6,734.0,768.8,795.9,816.8,832.8,844.9,854.2,861.2,867.3
Sitka,L,mineral,YC20_24,Sitka,0,0.3,10.1,68.9,164.8,282.3,399.1,501.3,583.9,647.1,694.0,727.8,752.0,769.0,780.8,789.1,794.8,798.8,801.5,803.4,804.9
Sitka,L,mineral,YC24_30,Sitka,0,1.1,32.2,154.5,286.2,395.4,504.6,572.4,618.6,649.1,668.9,681.5,689.5,694.6,697.8,699.8,701.1,701.9,702.4,702.7,702.9
Sitka,L,peat,YC4_12,Sitka,0,0.0,0.2,1.9,7.0,18.0,36.3,62.2,95.1,133.4,175.2,218.7,262.3,304.7,344.9,382.4,416.7,447.6,475.3,499.8,525.4
Sitka,L,peat,YC13_16,Sitka,0,0.1,2.9,21.1,58.7,120.6,205.1,307.0,420.0,537.8,654.9,767.3,872.3,968.2,1054.4,1130.8,1197.7,1255.8,1305.9,1348.8,1392.0
Sitka,L,peat,YC17_20,Sitka,0,0.2,5.9,40.9,103.6,191.1,290.9,391.3,484.4,565.7,633.9,689.6,734.0,768.8,795.9,816.8,832.8,844.9,854.2,861.2,867.3
Sitka,L,peat,YC20_24,Sitka,0,0.3,10.1,68.9,164.8,282.3,399.1,501.3,583.9,647.1,694.0,727.8,752.0,769.0,780.8,789.1,794.8,798.8,801.5,803.4,804.9
Sitka,L,peat,YC24_30,Sitka,0,1.1,32.2,154.5,286.2,395.4,504.6,572.4,618.6,649.1,668.9,681.5,689.5,694.6,697.8,699.8,701.1,701.9,702.4,702.7,702.9
SGB,L,mineral,YC6,SGB,0,0.5,4.6,18.2,35.2,57.4,83.8,113.3,145.1,178.2,212.0,245.6,278.8,311.0,342.0,371.6,399.6,425.9,450.6,473.5,498.9
SGB,L,peat,YC6,SGB,0,0.5,4.6,18.2,35.2,57.4,83.8,113.3,145.1,178.2,212.0,245.6,278.8,311.0,342.0,371.6,399.6,425.9,450.6,473.5,498.9
FGB,L,mineral,YC6,FGB,0,1.3,8.0,44.7,77.0,109.4,138.5,163.0,182.8,198.2,210.1,219.1,225.8,230.9,234.6,237.3,239.3,240.8,241.9,242.7,243.3
FGB,L,peat,YC6,FGB,0,1.3,8.0,44.7,77.0,109.4,138.5,163.0,182.8,198.2,210.1,219.1,225.8,230.9,234.6,237.3,239.3,240.8,241.9,242.7,243.3
CBmix,L,mineral,YC10,CBmix,0,1.0,10.3,52.9,92.0,137.5,186.9,238.3,289.8,340.2,388.8,434.8,477.9,517.9,554.7,588.4,619.1,646.9,672.0,694.5,718.6
CBmix,L,peat,YC10,CBmix,0,1.0,10.3,52.9,92.0,137.5,186.9,238.3,289.8,340.2,388.8,434.8,477.9,517.9,554.7,588.4,619.1,646.9,672.0,694.5,718.6
OC,L,mineral,YC10,OC,0,0.6,5.3,39.1,84.1,144.1,214.6,290.6,367.8,443.0,513.9,579.1,638.0,690.4,736.4,776.5,811.1,840.8,866.2,887.8,909.4
OC,L,peat,YC10,OC,0,0.6,5.3,39.1,84.1,144.1,214.6,290.6,367.8,443.0,513.9,579.1,638.0,690.4,736.4,776.5,811.1,840.8,866.2,887.8,909.4
