Classifier1,Classifier2,Classifier3,Classifier4,LeadSpecies,Vol0,Vol1,Vol2,Vol3,Vol4,Vol5,Vol6,Vol7,Vol8
CF,L,peat,YC10,CF,0,0.005367516858617811,7.2504354075111515,70.59816308727689,161.65052535412505,221.56278242398048,250.2935537503582,262.45482852338506,267.35683093020725
CF,L,peat,YC16,CF,0,5.255192836591619,59.61000695253024,167.8321968075084,283.9161820151574,378.09879927744157,444.40778816192324,487.6401745137581,514.6375386836781
CF,L,peat,YC20,CF,0,12.196558432933168,124.38614911269468,313.2478588755009,483.7496081218983,601.594661148768,673.3241022708229,714.2840817310127,736.9150900351045
CF,L,peat,YC24,CF,0,12.438945784272624,260.90726489836504,462.20998123551266,519.893590914462,532.8432829943805,535.6026446380489,536.1841864729141,536.3064646169585
CF,L,mineral,YC10,CF,0,0.005367516858617811,7.2504354075111515,70.59816308727689,161.65052535412505,221.56278242398048,250.2935537503582,262.45482852338506,267.35683093020725
CF,L,mineral,YC16,CF,0,5.255192836591619,59.61000695253024,167.8321968075084,283.9161820151574,378.09879927744157,444.40778816192324,487.6401745137581,514.6375386836781
CF,L,mineral,YC20,CF,0,12.196558432933168,124.38614911269468,313.2478588755009,483.7496081218983,601.594661148768,673.3241022708229,714.2840817310127,736.9150900351045
CF,L,mineral,YC24,CF,0,12.438945784272624,260.90726489836504,462.20998123551266,519.893590914462,532.8432829943805,535.6026446380489,536.1841864729141,536.3064646169585
CF,A,peat,YC10,CF,0,0,0,0,0,0,0,0,0
CF,A,peat,YC16,CF,0,0,0,0,0,0,0,0,0
CF,A,peat,YC20,CF,0,0,0,0,0,0,0,0,0
CF,A,peat,YC24,CF,0,0,0,0,0,0,0,0,0
CF,A,mineral,YC10,CF,0,0,0,0,0,0,0,0,0
CF,A,mineral,YC16,CF,0,0,0,0,0,0,0,0,0
CF,A,mineral,YC20,CF,0,0,0,0,0,0,0,0,0
CF,A,mineral,YC24,CF,0,0,0,0,0,0,0,0,0
BL,L,peat,YC10,BL,0,9.571816663248809,53.90741448857922,116.65981259562795,176.25816078720268,223.55280639415227,257.7171546346932,281.11926818347445,296.6540457607994
BL,L,mineral,YC10,BL,0,9.571816663248809,53.90741448857922,116.65981259562795,176.25816078720268,223.55280639415227,257.7171546346932,281.11926818347445,296.6540457607994
BL,A,peat,YC10,BL,0,0,0,0,0,0,0,0,0
BL,A,mineral,YC10,BL,0,0,0,0,0,0,0,0,0
